name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
1975 langevin ketch  voyage troll mk2 cc1975 langevin ketch  voyage troll mk2 cc,85020,1975,langevin,ketch  voyage troll mk2 cc,sailing yachts,40,diesel,other materials,
1998 jeanneau sun odyssey  42.21998 jeanneau sun odyssey  42.2,86110,1998,jeanneau,sun odyssey  42.2,daysailers,40,diesel,other materials,
1963 one design moerman klassiek stalen yawl1963 one design moerman klassiek stalen yawl,0,1963,one design,moerman klassiek stalen yawl,classic sailboats,40,diesel,steel,
1936 rathje 50er seefahrtskreuzer -verkauft-1936 rathje 50er seefahrtskreuzer -verkauft-,7521,1936,rathje,50er seefahrtskreuzer -verkauft-,classic sailboats,40,,wood,
2010 self-made catamaran 40 ft2010 self-made catamaran 40 ft,81205,2010,self-made catamaran,40 ft,catamarans and trimarans,40,gasoline,wood,
2006 sunbeam 392006 sunbeam 39,196200,2006,sunbeam,39,sailing yachts,40,diesel,fiberglass / polyester,
1993 bruce roberts yacht design alu 401993 bruce roberts yacht design alu 40,129710,1993,bruce roberts yacht design,alu 40,sailing yachts,40,diesel,aluminum,
2005 grand soleil 402005 grand soleil 40,140610,2005,grand soleil,40,sloop boats,40,diesel,other materials,
2002 bavaria bavaria 40 cruiser2002 bavaria bavaria 40 cruiser,86110,2002,bavaria,bavaria 40 cruiser,racer/cruiser sailboats,40,diesel,pvc (plastic),
1986 avance 401986 avance 40,116630,1986,avance,40,sailing yachts,40,diesel,other materials,
2001 jeanneau sun fast 402001 jeanneau sun fast 40,95920,2001,jeanneau,sun fast 40,daysailers,40,diesel,other materials,
2004 jeanneau sun odyssey 40 ds2004 jeanneau sun odyssey 40 ds,119900,2004,jeanneau,sun odyssey 40 ds,sailing yachts,40,diesel,composite,
2001 sinergia 40 wie imx 402001 sinergia 40 wie imx 40,114450,2001,sinergia,40 wie imx 40,sailing yachts,40,diesel,fiberglass / polyester,
2009 winner winner 12.20 -verkauft-2009 winner winner 12.20 -verkauft-,217455,2009,winner,winner 12.20 -verkauft-,daysailers,40,diesel,fiberglass / polyester,
1978 colvic victor 401978 colvic victor 40,3098,1978,colvic,victor 40,sailing yachts,39,diesel,fiberglass / polyester,monohull
1993 colvic victor 411993 colvic victor 41,75210,1993,colvic,victor 41,sloop boats,39,diesel,other materials,other
2000 jeanneau sun odyssey 40 ds deck saloon2000 jeanneau sun odyssey 40 ds deck saloon,124260,2000,jeanneau,sun odyssey 40 ds deck saloon,daysailers,39,diesel,fiberglass / polyester,
1986 one design 401986 one design 40,55787,1986,one design,40,racer/cruiser sailboats,39,diesel,aluminum,
2007 pogo pogo40 class402007 pogo pogo40 class40,234350,2007,pogo,pogo40 class40,sailing yachts,39,diesel,composite,
2006 x-yachts 402006 x-yachts 40,196200,2006,x-yachts,40,sailing yachts,39,diesel,fiberglass / polyester,
1986 custom goletta ferrocemento1986 custom goletta ferrocemento,5450,1986,custom,goletta ferrocemento,cleaner,39,diesel,ferro-cement,monohull
2008 pogo 402008 pogo 40,195655,2008,pogo,40,sloop boats,39,diesel,other materials,other
2007 structure pogo 402007 structure pogo 40,245250,2007,structure,pogo 40,daysailers,39,diesel,other materials,
2002 beneteau first 40.72002 beneteau first 40.7,81750,2002,beneteau,first 40.7,sailing yachts,39,diesel,other materials,
2007 beneteau oceanis 402007 beneteau oceanis 40,130800,2007,beneteau,oceanis 40,daysailers,39,diesel,other materials,
1979 danish flower 351979 danish flower 35,62675,1979,danish flower,35,sloop boats,39,diesel,steel,displacement
2007 bavaria 39 cruiser2007 bavaria 39 cruiser,98100,2007,bavaria,39 cruiser,sailing yachts,39,diesel,fiberglass / polyester,displacement
2007 bavaria 39 cruiser2007 bavaria 39 cruiser,107910,2007,bavaria,39 cruiser,sailing yachts,39,diesel,fiberglass / polyester,monohull
2004 bavaria 382004 bavaria 38,80660,2004,bavaria,38,sailing yachts,39,diesel,fiberglass / polyester,monohull
2003 bavaria bavaria 38 gte2003 bavaria bavaria 38 gte,75755,2003,bavaria,bavaria 38 gte,daysailers,39,diesel,other materials,
2009 beneteau oceanis 402009 beneteau oceanis 40,118810,2009,beneteau,oceanis 40,sailing yachts,39,diesel,fiberglass / polyester,monohull
1976 helmsman lady helmsman1976 helmsman lady helmsman,39240,1976,helmsman,lady helmsman,sailing yachts,39,diesel,composite,
2022 bavaria vision 422022 bavaria vision 42,269148,2022,bavaria,vision 42,daysailers,39,other,other materials,
2010 hunter boats 392010 hunter boats 39,125350,2010,hunter boats,39,other (sailboats),39,diesel,other materials,
1992 baltic baltic 401992 baltic baltic 40,141700,1992,baltic,baltic 40,sailing yachts,39,diesel,fiberglass / polyester,
1972 custom 30er schärenkreuzer1972 custom 30er schärenkreuzer,53410,1972,custom,30er schärenkreuzer,sailing yachts,39,gasoline,fiberglass / polyester,
"1966 custom 7,5 kr seekreuzer1966 custom 7,5 kr seekreuzer",65400,1966,custom,"7,5 kr seekreuzer",classic sailboats,39,diesel,wood,
1999 custom bashford sydney 401999 custom bashford sydney 40,70844,1999,custom,bashford sydney 40,racer/cruiser sailboats,39,diesel,fiberglass / polyester,
2005 delphia 40.42005 delphia 40.4,115431,2005,delphia,40.4,daysailers,39,diesel,other materials,
2013 fountaine pajot lipari 412013 fountaine pajot lipari 41,316100,2013,fountaine pajot,lipari 41,catamaran,39,diesel,fiberglass / polyester,
1982 jeanneau sun fizz 401982 jeanneau sun fizz 40,51230,1982,jeanneau,sun fizz 40,sailing yachts,39,diesel,fiberglass / polyester,
2003 jeanneau sun odyssey 40 ds2003 jeanneau sun odyssey 40 ds,125350,2003,jeanneau,sun odyssey 40 ds,sailing yachts,39,diesel,wood,
1984 jeanneau sun-shine 381984 jeanneau sun-shine 38,27250,1984,jeanneau,sun-shine 38,sailing yachts,39,diesel,fiberglass / polyester,
2002 malo malö 392002 malo malö 39,141700,2002,malo,malö 39,sailboats with a center cockpit,39,diesel,fiberglass / polyester,
1976 staverse kotter staverse kotter st 4251976 staverse kotter staverse kotter st 425,41420,1976,staverse kotter,staverse kotter st 425,sailing yachts,39,diesel,other materials,
1993 trident warrior 401993 trident warrior 40,80660,1993,trident,warrior 40,sloop boats,39,diesel,composite,
1985 trintella 38 ketch1985 trintella 38 ketch,85020,1985,trintella,38 ketch,sailing yachts,39,diesel,fiberglass / polyester,
2006 van de stadt 40 caribbean2006 van de stadt 40 caribbean,97010,2006,van de stadt,40 caribbean,sloop boats,39,diesel,aluminum,trimaran
1922 werftbau sonderklasse1922 werftbau sonderklasse,0,1922,werftbau,sonderklasse,classic sailboats,39,,wood,
1983 william garden ketch1983 william garden ketch,81750,1983,william garden,ketch,other (sailboats),39,diesel,other materials,
2010 x-yachts x412010 x-yachts x41,190750,2010,x-yachts,x41,racer/cruiser sailboats,39,diesel,fiberglass / polyester,
2000 beneteau first 40.72000 beneteau first 40.7,95920,2000,beneteau,first 40.7,sailing yachts,39,diesel,fiberglass / polyester,
1986 comar comet 121986 comar comet 12,49050,1986,comar,comet 12,racer/cruiser sailboats,39,diesel,fiberglass / polyester,displacement
1973 frans maas standfast 401973 frans maas standfast 40,38144,1973,frans maas,standfast 40,classic sailboats,39,diesel,fiberglass / polyester,
2002 grand soleil 402002 grand soleil 40,130800,2002,grand soleil,40,racer/cruiser sailboats,39,diesel,fiberglass / polyester,monohull
2002 hermine 402002 hermine 40,174400,2002,hermine,40,sloop boats,39,other,aluminum,
2022 jeanneau sun odyssey 4102022 jeanneau sun odyssey 410,0,2022,jeanneau,sun odyssey 410,racer/cruiser sailboats,39,diesel,fiberglass / polyester,
2020 jeanneau sun odyssey 4102020 jeanneau sun odyssey 410,294300,2020,jeanneau,sun odyssey 410,sloop boats,39,diesel,fiberglass / polyester,
2013 rm yachts 12602013 rm yachts 1260,269230,2013,rm yachts,1260,sailing yachts,39,diesel,wood,
2018 robertson & caine leopard 402018 robertson & caine leopard 40,444743,2018,robertson & caine,leopard 40,other (sailboats),39,diesel,fiberglass / polyester,
2018 robertson & caine leopard 402018 robertson & caine leopard 40,483659,2018,robertson & caine,leopard 40,other (sailboats),39,diesel,fiberglass / polyester,
2018 robertson & caine leopard 402018 robertson & caine leopard 40,476988,2018,robertson & caine,leopard 40,other (sailboats),39,diesel,fiberglass / polyester,
2017 robertson & caine leopard 402017 robertson & caine leopard 40,472541,2017,robertson & caine,leopard 40,other (sailboats),39,diesel,fiberglass / polyester,
2017 robertson & caine leopard 402017 robertson & caine leopard 40,428065,2017,robertson & caine,leopard 40,other (sailboats),39,diesel,fiberglass / polyester,
1997 bavaria 38 holiday1997 bavaria 38 holiday,86655,1997,bavaria,38 holiday,sloop boats,39,diesel,other materials,
2019 bavaria nautitech open 402019 bavaria nautitech open 40,430550,2019,bavaria,nautitech open 40,catamaran,39,diesel,fiberglass / polyester,catamaran
2004 dufour 38 classic2004 dufour 38 classic,92650,2004,dufour,38 classic,sailing yachts,39,diesel,fiberglass / polyester,
2005 dufour nautitech 402005 dufour nautitech 40,249610,2005,dufour,nautitech 40,catamaran,39,diesel,fiberglass / polyester,
1972 huisman staron ocean racer van de stadt1972 huisman staron ocean racer van de stadt,129165,1972,huisman,staron ocean racer van de stadt,sloop boats,39,diesel,aluminum,
2015 nautitech 40 open owners version2015 nautitech 40 open owners version,424010,2015,nautitech,40 open owners version,catamaran,39,diesel,fiberglass / polyester,
2006 nautitech 40 open2006 nautitech 40 open,163500,2006,nautitech,40 open,sailing yachts,39,diesel,other materials,
2006 nautitech 40 open2006 nautitech 40 open,163500,2006,nautitech,40 open,sailing yachts,39,diesel,other materials,
2019 lagoon lagoon 402019 lagoon lagoon 40,457800,2019,lagoon,lagoon 40,catamaran,39,diesel,fiberglass / polyester,
1977 unbekannt 30er schärenkreuzer- lotus1977 unbekannt 30er schärenkreuzer- lotus,26705,1977,unbekannt,30er schärenkreuzer- lotus,sailing yachts,39,,composite,
1995 amateur jnf 38 steel cutter1995 amateur jnf 38 steel cutter,76300,1995,amateur,jnf 38 steel cutter,sailing yachts,39,diesel,steel,displacement
2007 delphia delphia 402007 delphia delphia 40,81750,2007,delphia,delphia 40,sailing yachts,39,gasoline,composite,
2000 dufour 41 classic2000 dufour 41 classic,75210,2000,dufour,41 classic,sailing yachts,39,diesel,other materials,
2022 dufour 3902022 dufour 390,261600,2022,dufour,390,sailing yachts,39,diesel,fiberglass / polyester,
2022 dufour 3902022 dufour 390,213883,2022,dufour,390,racer/cruiser sailboats,39,diesel,fiberglass / polyester,
2020 dufour 3902020 dufour 390,247430,2020,dufour,390,sloop boats,39,diesel,other materials,
2019 dufour 3902019 dufour 390,246959,2019,dufour,390,sailing yachts,39,diesel,fiberglass / polyester,
2022 dufour 390 grand large2022 dufour 390 grand large,221466,2022,dufour,390 grand large,sailing yachts,39,diesel,fiberglass / polyester,
2017 bali 4.02017 bali 4.0,325801,2017,bali,4.0,catamaran,39,diesel,fiberglass / polyester,catamaran
2022 dufour 390 liegeplatz optional in der baltic bay erhältlich2022 dufour 390 liegeplatz optional in der baltic bay erhältlich,325910,2022,dufour,390 liegeplatz optional in der baltic bay erhältlich,daysailers,39,diesel,fiberglass / polyester,
2022 dufour 390 liegeplatz optional in der baltic bay erhältlich2022 dufour 390 liegeplatz optional in der baltic bay erhältlich,0,2022,dufour,390 liegeplatz optional in der baltic bay erhältlich,daysailers,39,diesel,fiberglass / polyester,
"2022 dufour dufour 390 top ausstattung, sofort verfügbar2022 dufour dufour 390 top ausstattung, sofort verfügbar",326455,2022,dufour,"dufour 390 top ausstattung, sofort verfügbar",daysailers,39,diesel,fiberglass / polyester,
2022 fountaine pajot isla 402022 fountaine pajot isla 40,0,2022,fountaine pajot,isla 40,catamaran,39,diesel,fiberglass / polyester,
2010 alubat ovni 3652010 alubat ovni 365,217455,2010,alubat,ovni 365,dinghy sailing boats,39,diesel,other materials,
2003 alumarine aventurin 402003 alumarine aventurin 40,152600,2003,alumarine,aventurin 40,daysailers,39,diesel,other materials,
2003 alumarine aventurin 402003 alumarine aventurin 40,152600,2003,alumarine,aventurin 40,daysailers,39,diesel,other materials,
1987 beneteau oceanis 3901987 beneteau oceanis 390,49050,1987,beneteau,oceanis 390,sloop boats,39,diesel,fiberglass / polyester,other
2017 elan 40 impression2017 elan 40 impression,146605,2017,elan,40 impression,sloop boats,39,diesel,other materials,other
2010 janmor reja 35 przedłużona2010 janmor reja 35 przedłużona,39240,2010,janmor,reja 35 przedłużona,sailing yachts,39,diesel,composite,
1996 mykolaiv mykolaiv 121996 mykolaiv mykolaiv 12,64310,1996,mykolaiv,mykolaiv 12,daysailers,39,diesel,other materials,
1997 nauticat 391997 nauticat 39,136250,1997,nauticat,39,sloop boats,39,diesel,other materials,
1997 trident warrior 401997 trident warrior 40,87836,1997,trident,warrior 40,sailing yachts,39,diesel,fiberglass / polyester,
2010 beneteau oceanis 402010 beneteau oceanis 40,136250,2010,beneteau,oceanis 40,daysailers,38,diesel,other materials,
2010 beneteau oceanis 402010 beneteau oceanis 40,136250,2010,beneteau,oceanis 40,daysailers,38,diesel,other materials,
2008 beneteau oceanis 402008 beneteau oceanis 40,147150,2008,beneteau,oceanis 40,sailing yachts,38,diesel,fiberglass / polyester,
1992 beneteau first 38.51992 beneteau first 38.5,65236,1992,beneteau,first 38.5,sailing yachts,38,diesel,composite,
2000 dehler 392000 dehler 39,92650,2000,dehler,39,racer/cruiser sailboats,38,diesel,other materials,
1987 dehler 381987 dehler 38,54481,1987,dehler,38,sailing yachts,38,diesel,fiberglass / polyester,
2021 excess 122021 excess 12,543910,2021,excess,12,catamaran,38,diesel,fiberglass / polyester,catamaran
2019 lagoon 402019 lagoon 40,413110,2019,lagoon,40,catamarans and trimarans,38,diesel,fiberglass / polyester,catamaran
2023 excess 122023 excess 12,416707,2023,excess,12,catamaran,38,diesel,fiberglass / polyester,
1983 jeanneau sun fizz1983 jeanneau sun fizz,56680,1983,jeanneau,sun fizz,sailing yachts,38,diesel,composite,
2022 jeanneau sun odyssey 3802022 jeanneau sun odyssey 380,231407,2022,jeanneau,sun odyssey 380,racer/cruiser sailboats,38,diesel,fiberglass / polyester,monohull
2002 jeanneau sun odyssey 402002 jeanneau sun odyssey 40,119900,2002,jeanneau,sun odyssey 40,sailing yachts,38,diesel,fiberglass / polyester,
1981 scomaix petit prince acier cc1981 scomaix petit prince acier cc,52320,1981,scomaix,petit prince acier cc,daysailers,38,diesel,other materials,
2016 lagoon 392016 lagoon 39,299750,2016,lagoon,39,catamaran,38,diesel,composite,
2018 fountaine pajot lucia 402018 fountaine pajot lucia 40,0,2018,fountaine pajot,lucia 40,catamaran,38,diesel,fiberglass / polyester,
2018 fountaine pajot lucia 402018 fountaine pajot lucia 40,389130,2018,fountaine pajot,lucia 40,catamaran,38,diesel,fiberglass / polyester,catamaran
2000 jeanneau sun odyssey 402000 jeanneau sun odyssey 40,95920,2000,jeanneau,sun odyssey 40,sailing yachts,38,diesel,fiberglass / polyester,monohull
2008 bavaria bavaria 38 cruiser2008 bavaria bavaria 38 cruiser,109000,2008,bavaria,bavaria 38 cruiser,sailing yachts,38,,composite,
1987 chantier heros ratafia alu di1987 chantier heros ratafia alu di,64855,1987,chantier heros,ratafia alu di,dinghy sailing boats,38,diesel,other materials,
1980 mattia cecco mattia 39 catamaran1980 mattia cecco mattia 39 catamaran,59950,1980,mattia cecco,mattia 39 catamaran,daysailers,38,diesel,other materials,
2003 eigenbau reinke s 112003 eigenbau reinke s 11,59950,2003,eigenbau,reinke s 11,sailing yachts,38,diesel,aluminum,
1996 reinke 11s1996 reinke 11s,49050,1996,reinke,11s,sloop boats,38,diesel,aluminum,
2003 reinke s112003 reinke s11,59950,2003,reinke,s11,sailing yachts,38,diesel,aluminum,
2003 reinke super 112003 reinke super 11,41420,2003,reinke,super 11,motor glider (sail),38,diesel,steel,
1996 reinke super 11 ex1996 reinke super 11 ex,49050,1996,reinke,super 11 ex,sailing yachts,38,diesel,aluminum,
1968 le comte north east 381968 le comte north east 38,31610,1968,le comte,north east 38,sailing yachts,38,diesel,fiberglass / polyester,
1976 nautor swan 381976 nautor swan 38,65400,1976,nautor swan,38,sloop boats,38,diesel,other materials,displacement
1993 comfortina 381993 comfortina 38,106820,1993,comfortina,38,sloop boats,38,diesel,other materials,
1926 historic schärenkreuzer1926 historic schärenkreuzer,31610,1926,historic,schärenkreuzer,classic sailboats,38,diesel,wood,
2014 dehler 38 competition2014 dehler 38 competition,216910,2014,dehler,38 competition,racer/cruiser sailboats,38,diesel,fiberglass / polyester,
2023 dehler 38 sq2023 dehler 38 sq,360136,2023,dehler,38 sq,racer/cruiser sailboats,38,diesel,fiberglass / polyester,monohull
2022 dehler 38sq2022 dehler 38sq,289940,2022,dehler,38sq,sailing yachts,38,diesel,fiberglass / polyester,
2000 dufour 38 classic2000 dufour 38 classic,81750,2000,dufour,38 classic,sailing yachts,38,diesel,fiberglass / polyester,monohull
2017 fountaine pajot lucia 402017 fountaine pajot lucia 40,414200,2017,fountaine pajot,lucia 40,catamaran,38,diesel,fiberglass / polyester,
2008 jeanneau sun odyssey  39 ds2008 jeanneau sun odyssey  39 ds,125350,2008,jeanneau,sun odyssey  39 ds,sailing yachts,38,diesel,fiberglass / polyester,
2007 jeanneau sun odyssey  39i2007 jeanneau sun odyssey  39i,97555,2007,jeanneau,sun odyssey  39i,racer/cruiser sailboats,38,diesel,fiberglass / polyester,monohull
2008 jeanneau sun odyssey 39i performance2008 jeanneau sun odyssey 39i performance,130800,2008,jeanneau,sun odyssey 39i performance,sailing yachts,38,diesel,fiberglass / polyester,
1983 alubat ovni 351983 alubat ovni 35,81750,1983,alubat,ovni 35,daysailers,38,diesel,other materials,
1968 boudignon ketch classique flamant 111968 boudignon ketch classique flamant 11,70850,1968,boudignon,ketch classique flamant 11,classic sailboats,38,diesel,other materials,
1979 vilm 36 b1979 vilm 36 b,59950,1979,vilm,36 b,sloop boats,38,diesel,other materials,displacement
2001 unbekannt hercules 38 ds2001 unbekannt hercules 38 ds,89380,2001,unbekannt,hercules 38 ds,other (sailboats),38,diesel,other materials,
1984 feltz skorpion 11 ms1984 feltz skorpion 11 ms,43080,1984,feltz,skorpion 11 ms,sailing yachts,37,diesel,steel,monohull
1996 island packet 371996 island packet 37,76718,1996,island packet,37,sailing yachts,37,diesel,fiberglass / polyester,monohull
2023 jeanneau sun odyssey 3802023 jeanneau sun odyssey 380,340551,2023,jeanneau,sun odyssey 380,sailing yachts,37,diesel,fiberglass / polyester,monohull
2016 lagoon 3802016 lagoon 380,267050,2016,lagoon,380,other (sailboats),37,diesel,fiberglass / polyester,
2022 prout 382022 prout 38,119355,2022,prout,38,sloop boats,37,diesel,other materials,
1982 chassiron gt 381982 chassiron gt 38,70850,1982,chassiron,gt 38,classic sailboats,37,diesel,fiberglass / polyester,
1984 hallberg-rassy 381984 hallberg-rassy 38,108455,1984,hallberg-rassy,38,sloop boats,37,diesel,other materials,semi-displacement
2019 beneteau oceanis 38.12019 beneteau oceanis 38.1,172220,2019,beneteau,oceanis 38.1,racer/cruiser sailboats,37,diesel,fiberglass / polyester,
1999 bavaria 371999 bavaria 37,74120,1999,bavaria,37,sloop boats,37,diesel,other materials,other
2014 dehler varianta 372014 dehler varianta 37,95920,2014,dehler,varianta 37,daysailers,37,diesel,fiberglass / polyester,
2012 lagoon 3802012 lagoon 380,311320,2012,lagoon,380,catamaran,37,diesel,fiberglass / polyester,
2007 lagoon 380 s22007 lagoon 380 s2,234350,2007,lagoon,380 s2,sloop boats,37,,other materials,
2002 lagoon lagoon 3802002 lagoon lagoon 380,196200,2002,lagoon,lagoon 380,daysailers,37,diesel,other materials,
2018 lagoon catamaran 380 s 22018 lagoon catamaran 380 s 2,177125,2018,lagoon catamaran,380 s 2,other (sailboats),37,gasoline,fiberglass / polyester,
1978 trintella 381978 trintella 38,86655,1978,trintella,38,sloop boats,37,diesel,other materials,
2004 island packet 3702004 island packet 370,184719,2004,island packet,370,sailing yachts,37,diesel,fiberglass / polyester,
2008 jeanneau sun odyssey 39i performance2008 jeanneau sun odyssey 39i performance,130691,2008,jeanneau,sun odyssey 39i performance,sloop boats,37,diesel,composite,
1973 tyler victory 40 ketch1973 tyler victory 40 ketch,81750,1973,tyler,victory 40 ketch,sailing yachts,37,diesel,fiberglass / polyester,
1997 van de stadt 36 seal1997 van de stadt 36 seal,103550,1997,van de stadt,36 seal,sloop boats,37,diesel,steel,tunnel
2018 beneteau oceanis 382018 beneteau oceanis 38,165666,2018,beneteau,oceanis 38,sailing yachts,37,diesel,fiberglass / polyester,
2018 beneteau oceanis 382018 beneteau oceanis 38,199023,2018,beneteau,oceanis 38,sailing yachts,37,diesel,fiberglass / polyester,
2017 beneteau oceanis 382017 beneteau oceanis 38,140094,2017,beneteau,oceanis 38,sailing yachts,37,diesel,fiberglass / polyester,
2017 beneteau oceanis 382017 beneteau oceanis 38,154548,2017,beneteau,oceanis 38,sailing yachts,37,diesel,fiberglass / polyester,
1976 alpa 11.501976 alpa 11.50,21800,1976,alpa,11.50,classic sailboats,37,diesel,fiberglass / polyester,
2016 beneteau oceanis 382016 beneteau oceanis 38,184210,2016,beneteau,oceanis 38,sloop boats,37,diesel,other materials,
1988 jeanneau espace 1100 kielmidzwaard1988 jeanneau espace 1100 kielmidzwaard,31610,1988,jeanneau,espace 1100 kielmidzwaard,sloop boats,37,diesel,other materials,other
1982 koopmans 38 ketch1982 koopmans 38 ketch,64855,1982,koopmans,38 ketch,sloop boats,37,diesel,steel,displacement
1977 reinke super secura1977 reinke super secura,19075,1977,reinke,super secura,sailing yachts,37,diesel,steel,
1980 werftbau taiwan clipper1980 werftbau taiwan clipper,59950,1980,werftbau,taiwan clipper,sailing yachts,37,diesel,fiberglass / polyester,
"1930 unbekannt gaffelkutter 11,5 m1930 unbekannt gaffelkutter 11,5 m",86110,1930,unbekannt,"gaffelkutter 11,5 m",classic sailboats,37,diesel,other materials,
1984 ct 381984 ct 38,64855,1984,ct,38,sloop boats,37,diesel,other materials,
2008 bavaria 38 cruiser2008 bavaria 38 cruiser,97991,2008,bavaria,38 cruiser,sailing yachts,37,diesel,fiberglass / polyester,monohull
2021 pedro h2home 1150 cruise edition2021 pedro h2home 1150 cruise edition,212550,2021,pedro,h2home 1150 cruise edition,sloop boats,37,diesel,steel,tunnel
2022 van de stadt forna alu 382022 van de stadt forna alu 38,239800,2022,van de stadt,forna alu 38,sailing yachts,37,diesel,aluminum,monohull
1990 westerly 38 oceanranger1990 westerly 38 oceanranger,59950,1990,westerly,38 oceanranger,sailing yachts,37,diesel,fiberglass / polyester,displacement
2015 robertson & caine leopard 392015 robertson & caine leopard 39,287971,2015,robertson & caine,leopard 39,other (sailboats),37,diesel,fiberglass / polyester,
1975 assmann bohlmann konstruktion1975 assmann bohlmann konstruktion,59950,1975,assmann,bohlmann konstruktion,motor glider (sail),37,diesel,steel,
2003 bavaria 36 cruiser2003 bavaria 36 cruiser,59950,2003,bavaria,36 cruiser,sloop boats,37,diesel,other materials,
2005 bavaria cruiser 362005 bavaria cruiser 36,74338,2005,bavaria,cruiser 36,sailing yachts,37,diesel,other materials,
2003 bavaria cruiser 362003 bavaria cruiser 36,79025,2003,bavaria,cruiser 36,sailing yachts,37,diesel,fiberglass / polyester,
2002 bavaria cruiser 362002 bavaria cruiser 36,70850,2002,bavaria,cruiser 36,sailing yachts,37,diesel,composite,
1978 beck & sohne 22er schärenkreuzer1978 beck & sohne 22er schärenkreuzer,23980,1978,beck & sohne,22er schärenkreuzer,classic sailboats,37,diesel,pvc (plastic),
1994 cr cb 3701994 cr cb 370,75210,1994,cr,cb 370,racer/cruiser sailboats,37,diesel,fiberglass / polyester,
1951 gulet gaffelkutter1951 gulet gaffelkutter,53410,1951,gulet,gaffelkutter,classic sailboats,37,diesel,other materials,
2022 hanse 3882022 hanse 388,239691,2022,hanse,388,daysailers,37,diesel,fiberglass / polyester,
2021 hanse 388 - verkauft! bugstrahl/rollgroß/e-winsch2021 hanse 388 - verkauft! bugstrahl/rollgroß/e-winsch,251790,2021,hanse,388 - verkauft! bugstrahl/rollgroß/e-winsch,sailing yachts,37,diesel,fiberglass / polyester,
1982 henry wauquiez amphora1982 henry wauquiez amphora,42510,1982,henry wauquiez,amphora,sailing yachts,37,diesel,fiberglass / polyester,
2002 jeanneau sun odyssey 372002 jeanneau sun odyssey 37,81750,2002,jeanneau,sun odyssey 37,sloop boats,37,diesel,other materials,other
1938 klassiek zeiljacht 11.40 1938 klassiek zeiljacht 11.40 ,32155,1938,klassiek zeiljacht 11.40,,sloop boats,37,diesel,other materials,displacement
1996 x-yachts x-yachts imx 381996 x-yachts x-yachts imx 38,70850,1996,x-yachts,x-yachts imx 38,daysailers,37,diesel,other materials,
2009 chantier voisin wallis 372009 chantier voisin wallis 37,97010,2009,chantier voisin,wallis 37,daysailers,37,diesel,other materials,
2006 dufour 385 grand large2006 dufour 385 grand large,97010,2006,dufour,385 grand large,sailing yachts,37,diesel,fiberglass / polyester,
1971 baron van hoevell s-spant1971 baron van hoevell s-spant,32155,1971,baron van hoevell,s-spant,sloop boats,37,diesel,steel,displacement
1998 hunter hunter 37.61998 hunter hunter 37.6,65400,1998,hunter,hunter 37.6,daysailers,37,diesel,other materials,
2015 jeanneau sun odyssey 3792015 jeanneau sun odyssey 379,138430,2015,jeanneau,sun odyssey 379,daysailers,37,diesel,fiberglass / polyester,
2023 excess 112023 excess 11,355885,2023,excess,11,catamaran,37,diesel,fiberglass / polyester,
2005 x-yachts x-372005 x-yachts x-37,119900,2005,x-yachts,x-37,daysailers,37,diesel,other materials,
2006 hallberg-rassy 372006 hallberg-rassy 37,234350,2006,hallberg-rassy,37,sailing yachts,37,diesel,fiberglass / polyester,
1987 baron 1081987 baron 108,97991,1987,baron,108,sloop boats,37,diesel,steel,
2012 bavaria cruiser 362012 bavaria cruiser 36,105370,2012,bavaria,cruiser 36,sloop boats,37,diesel,fiberglass / polyester,
2022 bavaria cruiser 372022 bavaria cruiser 37,188079,2022,bavaria,cruiser 37,daysailers,37,other,other materials,
2022 bavaria cruiser 372022 bavaria cruiser 37,223068,2022,bavaria,cruiser 37,daysailers,37,diesel,fiberglass / polyester,
2021 bavaria cruiser 372021 bavaria cruiser 37,212168,2021,bavaria,cruiser 37,daysailers,37,,fiberglass / polyester,
1968 chris-craft apache 371968 chris-craft apache 37,53410,1968,chris-craft,apache 37,classic sailboats,37,diesel,fiberglass / polyester,other
2019 dehler 382019 dehler 38,214730,2019,dehler,38,daysailers,37,diesel,fiberglass / polyester,
2017 dehler 382017 dehler 38,201650,2017,dehler,38,racer/cruiser sailboats,37,diesel,fiberglass / polyester,
2014 dehler 382014 dehler 38,155216,2014,dehler,38,racer/cruiser sailboats,37,diesel,fiberglass / polyester,
2021 dehler 38 sq2021 dehler 38 sq,259420,2021,dehler,38 sq,daysailers,37,diesel,fiberglass / polyester,
2022 dehler 38sq2022 dehler 38sq,292120,2022,dehler,38sq,daysailers,37,diesel,other materials,
1992 fountaine pajot antigua maestro1992 fountaine pajot antigua maestro,152600,1992,fountaine pajot,antigua maestro,other (sailboats),37,diesel,fiberglass / polyester,
2013 g-force yachts x-treme 372013 g-force yachts x-treme 37,97991,2013,g-force yachts,x-treme 37,sloop boats,37,diesel,other materials,
1987 gib'sea 106 master1987 gib'sea 106 master,34880,1987,gib'sea,106 master,unspecified (sailboats),37,diesel,fiberglass / polyester,
2005 grand soleil 37 j&j2005 grand soleil 37 j&j,76300,2005,grand soleil,37 j&j,racer/cruiser sailboats,37,diesel,fiberglass / polyester,
2023 jeanneau sun fast 36002023 jeanneau sun fast 3600,200124,2023,jeanneau,sun fast 3600,racer sailboats,37,diesel,fiberglass / polyester,monohull
